United States Billion-Dollar Disasters By Year (CPI-Adjusted),,,,,,,,,,,,,,,,
Cost values are in billions of dollars,,,,,,,,,,,,,,,,
Year,Tropical Cyclone Count,Tropical Cyclone Cost,Tropical Cyclone Lower 75,Tropical Cyclone Upper 75,Tropical Cyclone Lower 90,Tropical Cyclone Upper 90,Tropical Cyclone Lower 95,Tropical Cyclone Upper 95,All Disasters Count,All Disasters Cost,All Disasters Lower 75,All Disasters Upper 75,All Disasters Lower 90,All Disasters Upper 90,All Disasters Lower 95,All Disasters Upper 95
1980,1,2,1.4,2.7,1.2,3.5,1,4.3,1,2,1.4,2.7,1.2,3.5,1,4.3
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,1,8.1,5.5,8,5.1,8.5,4.8,8.7,1,8.1,5.5,8,5.1,8.5,4.8,8.7
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,3,9,6.1,9.1,5.5,9.8,5.1,10.2,3,9,6.1,9.1,5.5,9.8,5.1,10.2
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1,19.5,17.6,20.4,17,21,16.7,21.4,1,19.5,17.6,20.4,17,21,16.7,21.4
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,1,2.9,2.5,3.4,2.4,3.6,2.2,3.8,1,2.9,2.5,3.4,2.4,3.6,2.2,3.8
1992,2,57.2,51,62.1,49.2,64.3,48.1,65.5,2,57.2,51,62.1,49.2,64.3,48.1,65.5
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1,1.8,1.6,2.1,1.5,2.2,1.4,2.2,1,1.8,1.6,2.1,1.5,2.2,1.4,2.2
1995,3,13.4,12.3,15.7,11.9,16.9,11.6,17.5,3,13.4,12.3,15.7,11.9,16.9,11.6,17.5
1996,1,8.5,7.8,10.1,7.3,10.6,7,10.8,1,8.5,7.8,10.1,7.3,10.6,7,10.8
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,3,12.5,10.8,14.2,10.2,14.9,9.9,15.4,3,12.5,10.8,14.2,10.2,14.9,9.9,15.4
1999,1,10.4,9.1,11.3,8.7,11.7,8.5,12,1,10.4,9.1,11.3,8.7,11.7,8.5,12
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,1,12.8,10.8,13.7,10.3,14.4,10.1,14.8,1,12.8,10.8,13.7,10.3,14.4,10.1,14.8
2002,2,3.3,2.8,3.7,2.8,3.8,2.6,4.1,2,3.3,2.8,3.7,2.8,3.8,2.6,4.1
2003,1,8,6.7,8.2,6.6,8.7,6.5,8.9,1,8,6.7,8.2,6.6,8.7,6.5,8.9
2004,4,76.3,68.5,81.6,66.4,84.5,65.2,86.1,4,76.3,68.5,81.6,66.4,84.5,65.2,86.1
2005,4,227.6,191.1,248.8,181.6,263.1,175.6,272.1,4,227.6,191.1,248.8,181.6,263.1,175.6,272.1
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,3,46.6,42.6,49.9,41.4,51.7,40.8,52.6,3,46.6,42.6,49.9,41.4,51.7,40.8,52.6
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,19.1,16.8,20.7,16.2,21.6,15.9,22.1,2,19.1,16.8,20.7,16.2,21.6,15.9,22.1
2012,2,78.6,65.4,86.2,61.8,90.8,59.9,93.4,2,78.6,65.4,86.2,61.8,90.8,59.9,93.4
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,11.1,8.2,12.1,8,12.4,7.8,12.8,1,11.1,8.2,12.1,8,12.4,7.8,12.8
2017,3,283.6,228.9,328.6,206,361.2,192.7,374.6,3,283.6,228.9,328.6,206,361.2,192.7,374.6
2018,2,51,41.6,60.3,36.4,65.5,31.7,70.2,2,51,41.6,60.3,36.4,65.5,31.7,70.2
2019,2,6.8,4.3,8.5,4,9.1,3.7,9.9,2,6.8,4.3,8.5,4,9.1,3.7,9.9
2020,7,41.2,36.6,46,34.6,48.4,33,50.2,7,41.2,36.6,46,34.6,48.4,33,50.2
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
